iter	Passed	Remaining
0	1	1357
1	2	1199
2	3	1157
3	4	1065
4	5	999
5	5	954
6	6	916
7	7	893
8	7	872
9	8	857
10	9	845
11	10	836
12	10	827
13	11	820
14	12	814
15	13	807
16	13	804
17	14	796
18	15	791
19	16	787
20	16	783
21	17	792
22	18	792
23	19	789
24	20	786
25	20	783
26	21	779
27	22	775
28	23	770
29	23	768
30	24	764
31	25	761
32	25	760
33	26	757
34	27	755
35	28	754
36	28	751
37	29	749
38	30	747
39	31	745
40	31	745
41	32	747
42	33	747
43	34	746
44	35	745
45	35	743
46	36	741
47	37	739
48	38	738
49	38	737
50	39	734
51	40	733
52	40	732
53	41	729
54	42	728
55	43	726
56	43	725
57	44	723
58	45	724
59	46	723
60	46	723
61	47	723
62	48	721
63	49	719
64	49	719
65	50	718
66	51	716
67	52	715
68	52	714
69	53	713
70	54	711
71	55	710
72	55	709
73	56	707
74	57	706
75	58	706
76	58	704
77	59	704
78	60	702
79	60	700
80	61	698
81	62	698
82	62	693
83	63	691
84	64	689
85	64	687
86	65	684
87	65	682
88	66	680
89	67	678
90	67	676
91	68	674
92	69	672
93	69	671
94	70	669
95	70	668
96	71	666
97	72	664
98	72	662
99	73	661
100	74	661
101	75	660
102	75	659
103	76	658
104	77	657
105	77	656
106	78	655
107	79	654
108	79	652
109	80	650
110	81	649
111	81	648
112	82	646
113	83	645
114	83	643
115	84	641
116	84	639
117	85	638
118	86	636
119	86	635
120	87	634
121	87	632
122	88	631
123	89	630
124	89	629
125	90	627
126	91	625
127	91	626
128	92	626
129	93	625
130	94	623
131	94	622
132	95	621
133	95	620
134	96	618
135	97	617
136	97	616
137	98	614
138	99	613
139	99	612
140	100	611
141	100	608
142	102	612
143	103	612
144	103	611
145	104	610
146	104	608
147	105	607
148	106	606
149	107	606
150	107	605
151	108	603
152	108	602
153	109	601
154	110	600
155	110	599
156	111	597
157	111	596
158	112	595
159	113	594
160	113	592
161	114	591
162	114	589
163	115	588
164	116	588
165	117	588
166	117	587
167	118	586
168	118	584
169	119	583
170	120	582
171	120	581
172	121	581
173	122	580
174	123	580
175	123	579
176	124	577
177	124	576
178	125	575
179	126	574
180	126	573
181	127	572
182	127	571
183	128	569
184	129	568
185	129	567
186	130	566
187	130	565
188	131	564
189	132	564
190	132	563
191	133	562
192	134	561
193	134	560
194	135	559
195	136	559
196	137	558
197	137	557
198	138	556
199	138	555
200	139	554
201	140	553
202	140	552
203	141	551
204	141	550
205	142	548
206	143	547
207	143	546
208	144	545
209	144	544
210	145	543
211	146	542
212	146	541
213	147	540
214	147	540
215	148	539
216	149	538
217	149	537
218	150	536
219	151	535
220	151	535
